isi,block,trial,isi_ms,isi_frames,theta,log_cnt,resp,rt,stim_duration,blank_duration,cnt,correct
9,8,1195,160,16,45,-1.8546873026985,1,0.60875279999982,0.0400660999994216,0.167071900000337,0.0139737412527265,1
48,8,1196,940,94,45,-1.8546873026985,1,0.571295799999461,0.0435600000000704,0.936950499999512,0.0139737412527265,1
42,8,1197,820,82,45,-1.8546873026985,1,0.505565700000261,0.0492322000000058,0.821087799999987,0.0139737412527265,1
23,8,1198,440,44,-45,-1.8546873026985,-1,0.4844092000003,0.0493962999998985,0.44228480000038,0.0139737412527265,1
34,8,1199,660,66,45,-1.8546873026985,1,0.532377000000452,0.0495904999997947,0.665672300000551,0.0139737412527265,1
4,8,1200,60,6,45,-1.8546873026985,1,0.538463100000627,0.0408496000000014,0.0769098999999187,0.0139737412527265,1
2,8,1201,20,2,-45,-1.8546873026985,-1,0.571504300000015,0.0508988999999929,0.0336404999998194,0.0139737412527265,1
21,8,1202,400,40,-45,-1.8546873026985,-1,0.503279600000496,0.0443909999994503,0.396696200000406,0.0139737412527265,1
51,8,1203,1000,100,45,-1.8546873026985,1,0.51408790000005,0.0407114999998157,0.996735800000351,0.0139737412527265,1
38,8,1204,740,74,45,-1.8546873026985,1,0.482950000000528,0.0511968999999226,0.745567799999662,0.0139737412527265,1
24,8,1205,460,46,-45,-1.8546873026985,-1,0.551511899999241,0.0455885000001217,0.458811500000593,0.0139737412527265,1
7,8,1206,120,12,-45,-1.8546873026985,1,0.540820899999744,0.0401373000004241,0.138752400000158,0.0139737412527265,0
39,8,1207,760,76,45,-1.8546873026985,1,0.523750099999233,0.0460370999999213,0.758171899999979,0.0139737412527265,1
5,8,1208,80,8,-45,-1.8546873026985,-1,0.62469130000045,0.0399469000003592,0.0867591999995057,0.0139737412527265,1
44,8,1209,860,86,-45,-1.8546873026985,-1,0.507918600000266,0.0513652999998158,0.864369400000214,0.0139737412527265,1
16,8,1210,300,30,-45,-1.8546873026985,-1,0.636431100000664,0.0428605999995852,0.296762500000114,0.0139737412527265,1
43,8,1211,840,84,45,-1.8546873026985,1,0.51070990000062,0.0513227999999799,0.845733299999665,0.0139737412527265,1
44,8,1212,860,86,-45,-1.8546873026985,-1,0.622096899999633,0.0408072999998694,0.856691700000738,0.0139737412527265,1
11,8,1213,200,20,-45,-1.8546873026985,-1,0.68016119999993,0.0481305000002976,0.199496799999906,0.0139737412527265,1
1,8,1214,0,0,45,-1.8546873026985,1,0.600959299999886,0.0511727000002793,0.0196767999996155,0.0139737412527265,1
38,8,1215,740,74,-45,-1.8546873026985,-1,0.56305440000051,0.0438004999996338,0.736592799999926,0.0139737412527265,1
21,8,1216,400,40,45,-1.8546873026985,1,0.474485200000345,0.0407545999996728,0.396684800000003,0.0139737412527265,1
17,8,1217,320,32,45,-1.8546873026985,-1,1.11861859999954,0.0492281000006187,0.32005719999961,0.0139737412527265,0
50,8,1218,980,98,-45,-1.8546873026985,-1,3.47658849999971,0.0416534329242495,0.977331167076045,0.0139737412527265,1
21,8,1219,400,40,45,-1.8546873026985,1,0.451801199999863,0.0462540999997145,0.397973000000093,0.0139737412527265,1
51,8,1220,1000,100,-45,-1.8546873026985,-1,0.510493400000087,0.0438564999994924,0.997808199999781,0.0139737412527265,1
3,8,1221,40,4,-45,-1.8546873026985,1,0.585342999999739,0.0507963999998537,0.0514416999994864,0.0139737412527265,0
30,8,1222,580,58,45,-1.8546873026985,1,0.479110199999923,0.0454682999998113,0.579247200000282,0.0139737412527265,1
15,8,1223,280,28,45,-1.8546873026985,1,0.49855480000042,0.051143100000445,0.281902299999274,0.0139737412527265,1
32,8,1224,620,62,45,-1.8546873026985,1,0.48534650000056,0.0473273999996309,0.618943000000399,0.0139737412527265,1
40,9,1225,780,78,45,-1.8546873026985,1,0.595095499999843,0.0485131000004912,0.780271800000264,0.0139737412527265,1
18,9,1226,340,34,45,-1.8546873026985,-1,0.484341700000186,0.0425371000001178,0.337125900000501,0.0139737412527265,0
44,9,1227,860,86,-45,-1.8546873026985,-1,0.508536600000298,0.0503281999999672,0.864901799999643,0.0139737412527265,1
36,9,1228,700,70,45,-1.8546873026985,1,0.43531879999955,0.0486141000001226,0.699660299999778,0.0139737412527265,1
47,9,1229,920,92,-45,-1.8546873026985,-1,0.429322400000274,0.0454250000002503,0.917300499999328,0.0139737412527265,1
48,9,1230,940,94,-45,-1.8546873026985,-1,0.406863199999862,0.0463190999998915,0.938157399999909,0.0139737412527265,1
4,9,1231,60,6,-45,-1.8546873026985,-1,3.1171704999997,0.0427228000007744,0.0561755999997331,0.0139737412527265,1
39,9,1232,760,76,45,-1.8546873026985,1,0.559050800000477,0.0439226999997118,0.756935600000361,0.0139737412527265,1
20,9,1233,380,38,45,-1.8546873026985,1,0.526683000000048,0.050902899999528,0.382296900000256,0.0139737412527265,1
13,9,1234,240,24,45,-1.8546873026985,1,0.536701099999846,0.0425915000005261,0.236605500000223,0.0139737412527265,1
45,9,1235,880,88,-45,-1.8546873026985,-1,6.51827639999919,0.0433339999999589,0.877824799999871,0.0139737412527265,1
47,9,1236,920,92,-45,-1.8546873026985,-1,0.494624300000396,0.0443909973564587,0.917059202643941,0.0139737412527265,1
33,9,1237,640,64,-45,-1.8546873026985,-1,0.638599700000668,0.0492899999999281,0.640211799999634,0.0139737412527265,1
30,9,1238,580,58,-45,-1.8546873026985,1,0.467290300000059,0.0438788999999815,0.576686399999744,0.0139737412527265,0
21,9,1239,400,40,-45,-1.8546873026985,1,0.567055299999993,0.0512159999998403,0.405848600000354,0.0139737412527265,0
7,9,1240,120,12,-45,-1.8546873026985,-1,0.759784599999875,0.0477688000000853,0.120512799999233,0.0139737412527265,1
35,9,1241,680,68,-45,-1.8546873026985,-1,0.450719600000411,0.0404674000001251,0.676585000000159,0.0139737412527265,1
22,9,1242,420,42,45,-1.8546873026985,1,0.591546100000414,0.0452582999996594,0.419369300000653,0.0139737412527265,1
23,9,1243,440,44,-45,-1.8546873026985,1,0.545833899999707,0.041795799999818,0.436553300000014,0.0139737412527265,0
32,9,1244,620,62,45,-1.8546873026985,-1,0.999622700000145,0.0449435999998968,0.619449499999973,0.0139737412527265,0
26,9,1245,500,50,-45,-1.8546873026985,-1,0.520650399999795,0.0496361000004981,0.501946299999872,0.0139737412527265,1
15,9,1246,280,28,45,-1.8546873026985,1,0.489955099999861,0.0472235999995974,0.278818400000091,0.0139737412527265,1
14,9,1247,260,26,45,-1.8546873026985,1,0.466846300000725,0.051288999999997,0.265450699999747,0.0139737412527265,1
31,9,1248,600,60,45,-1.8546873026985,1,0.538370999999643,0.0469133000005968,0.598733599999832,0.0139737412527265,1
20,9,1249,380,38,45,-1.8546873026985,1,0.507974600000125,0.0425046999998813,0.377637500000674,0.0139737412527265,1
36,9,1250,700,70,-45,-1.8546873026985,1,0.515405899999678,0.0486700000001292,0.700143799999751,0.0139737412527265,0
26,9,1251,500,50,45,-1.8546873026985,1,0.525043699999515,0.0476519000003464,0.499544999999671,0.0139737412527265,1
10,9,1252,180,18,-45,-1.8546873026985,-1,1.09381599999961,0.0496657999992749,0.184380700000474,0.0139737412527265,1
11,9,1253,200,20,-45,-1.8546873026985,-1,0.546432200000709,0.049319668301905,0.204057600000851,0.0139737412527265,1
51,9,1254,1000,100,45,-1.8546873026985,1,0.543291899999531,0.0435297999993054,0.99690129999999,0.0139737412527265,1
40,9,1255,780,78,45,-1.8546873026985,1,0.542973800000254,0.0404934000007415,0.776706499999818,0.0139737412527265,1
41,9,1256,800,80,45,-1.8546873026985,1,0.455411200000526,0.0433883999994578,0.797036400000252,0.0139737412527265,1
