response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,State
0,1,-1.0,2,,1,3,0.9286153637584568,0.07138463624152029,1,0,1,1
0,-1,1.0,0,-1.0,1,-1,0.919411480926876,0.08058851907315909,0,1,0,1
0,-1,-1.0,1,,1,0,0.92945022624295,0.07054977375708917,1,1,1,1
0,-1,-1.0,0,,1,-1,0.9448948408602532,0.05510515913977172,1,1,1,1
1,-1,1.0,0,1.0,1,-1,0.9661920038806097,0.033807996119380485,1,0,1,1
0,1,-1.0,1,,1,2,0.975797917558649,0.02420208244132705,1,0,1,1
1,-1,1.0,0,-3.0,1,-1,0.9788383874603342,0.021161612539643705,1,0,1,1
0,1,1.0,1,-2.0,1,2,0.9769358368207212,0.023064163179273206,0,0,0,1
0,-1,-1.0,1,,1,0,0.9623829228447985,0.037617077155197916,1,1,1,1
0,-1,-1.0,0,,1,-1,0.952780153291513,0.04721984670850049,1,1,1,1
0,-1,-1.0,0,,1,-1,0.9478498031035935,0.05215019689642052,1,1,1,1
0,-1,1.0,0,-2.0,1,-1,0.9474492798986303,0.0525507201013588,0,1,0,1
1,-1,1.0,1,-2.0,1,0,0.9650325381447621,0.03496746185523996,1,0,1,1
0,1,-1.0,1,,1,2,0.9723064339159723,0.02769356608401276,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9731523861673609,0.026847613832642923,1,1,1,1
1,-1,1.0,0,2.0,1,-1,0.9780189002930934,0.0219810997068755,1,0,1,1
1,1,1.0,1,-3.0,1,2,0.9776545311120973,0.022345468887896954,1,0,1,1
0,1,1.0,1,1.0,1,2,0.9811467631983901,0.01885323680156925,0,0,0,1
0,-1,-1.0,1,,1,0,0.9757262556060988,0.024273744393863865,1,1,1,1
0,-1,-1.0,0,,1,-1,0.974283721389922,0.02571627861006981,1,1,1,1
0,-1,-1.0,0,,1,-1,0.9767774405131174,0.02322255948684937,1,1,1,1
1,-1,1.0,0,-2.0,1,-1,0.9832795346988462,0.01672046530114575,1,0,1,1
1,1,1.0,1,-1.0,1,2,0.9850588093580633,0.014941190641985739,1,0,1,1
